x	y	z	c
0.436346747431984	0.527452610421896	0.728968627421412	0.728968627421412
0.374668420631708	0.452896320799659	0.809016994374947	0.809016994374947
0	0	-1	-1
0.0533642953965693	0.113404900302025	-0.992114701314478	-0.992114701314478
0.10588700397645	0.225021337581483	-0.968583161128631	-0.968583161128631
0.156739811249791	0.333089053946049	-0.929776485888251	-0.929776485888251
0.205120738067899	0.43590375695213	-0.876306680043864	-0.876306680043864
0.250266788313487	0.531843997314794	-0.809016994374947	-0.809016994374947
0.291465981805238	0.6193967401316	-0.728968627421412	-0.728968627421412
0.328068582650582	0.697181226346852	-0.63742398974869	-0.63742398974869
0.359497345968855	0.763970748146737	-0.535826794978997	-0.535826794978997
0.385256621387895	0.818711994874345	-0.425779291565073	-0.425779291565073
0.404940169746496	0.860541664367945	-0.309016994374947	-0.309016994374947
0.418237569728664	0.888800077751789	-0.187381314585725	-0.187381314585725
0.424939113393197	0.903041582966058	-0.0627905195293134	-0.0627905195293134
0.424939113393197	0.903041582966058	0.0627905195293134	0.0627905195293134
0.418237569728664	0.888800077751789	0.187381314585725	0.187381314585725
0.404940169746496	0.860541664367945	0.309016994374947	0.309016994374947
0.385256621387895	0.818711994874345	0.425779291565073	0.425779291565073
0.359497345968855	0.763970748146737	0.535826794978997	0.535826794978997
0.328068582650582	0.697181226346852	0.63742398974869	0.63742398974869
0.291465981805238	0.6193967401316	0.728968627421412	0.728968627421412
0.250266788313487	0.531843997314794	0.809016994374947	0.809016994374947
0	0	-1	-1
0.023485106066559	0.123113237422817	-0.992114701314478	-0.992114701314478
0.0465998379811261	0.244284905547193	-0.968583161128631	-0.968583161128631
0.0689796626133369	0.361604054782361	-0.929776485888251	-0.929776485888251
0.0902716367596822	0.473220492061818	-0.876306680043864	-0.876306680043864
0.110139973268665	0.577373959493242	-0.809016994374947	-0.809016994374947
0.128271336604771	0.672421894676972	-0.728968627421412	-0.728968627421412
0.144379784337037	0.756865334896277	-0.63742398974869	-0.63742398974869
0.158211276622005	0.829372556654831	-0.535826794978997	-0.535826794978997
0.169547682563809	0.888800077751789	-0.425779291565073	-0.425779291565073
0.178210220268706	0.934210690679171	-0.309016994374947	-0.309016994374947
0.184062276342339	0.964888242944126	-0.187381314585725	-0.187381314585725
0.18701156036458	0.980348931221554	-0.0627905195293134	-0.0627905195293134
0.18701156036458	0.980348931221554	0.0627905195293134	0.0627905195293134
0.184062276342339	0.964888242944126	0.187381314585725	0.187381314585725
0.178210220268706	0.934210690679171	0.309016994374947	0.309016994374947
0.169547682563809	0.888800077751789	0.425779291565073	0.425779291565073
0.158211276622005	0.829372556654831	0.535826794978997	0.535826794978997
0.144379784337037	0.756865334896277	0.63742398974869	0.63742398974869
0.128271336604771	0.672421894676972	0.728968627421412	0.728968627421412
0.110139973268665	0.577373959493242	0.809016994374947	0.809016994374947
-0	0	-1	-1
-0.00786973884979144	0.125085917057519	-0.992114701314478	-0.992114701314478
-0.0156153672167676	0.248199154480336	-0.968583161128631	-0.968583161128631
-0.023114731914567	0.36739814297001	-0.929776485888251	-0.929776485888251
-0.0302495634820022	0.480803043272034	-0.876306680043864	-0.876306680043864
-0.0369073413631129	0.586625392363843	-0.809016994374947	-0.809016994374947
-0.0429830684235503	0.683196308585051	-0.728968627421412	-0.728968627421412
-0.0483809268181078	0.76899281089818	-0.63742398974869	-0.63742398974869
-0.0530157890953789	0.842661837209405	-0.535826794978997	-0.535826794978997
-0.0568145607085187	0.903041582966057	-0.425779291565073	-0.425779291565073
-0.0597173327599116	0.949179823508441	-0.309016994374947	-0.309016994374947
-0.0616783268002753	0.980348931221555	-0.187381314585725	-0.187381314585725
-0.0626666167821521	0.996057350657239	-0.0627905195293134	-0.0627905195293134
-0.0626666167821521	0.996057350657239	0.0627905195293134	0.0627905195293134
-0.0616783268002753	0.980348931221555	0.187381314585725	0.187381314585725
-0.0597173327599116	0.949179823508441	0.309016994374947	0.309016994374947
-0.0568145607085187	0.903041582966057	0.425779291565073	0.425779291565073
-0.0530157890953789	0.842661837209405	0.535826794978997	0.535826794978997
-0.0483809268181078	0.76899281089818	0.63742398974869	0.63742398974869
-0.0429830684235503	0.683196308585051	0.728968627421412	0.728968627421412
-0.0369073413631129	0.586625392363843	0.809016994374947	0.809016994374947
-0	0	-1	-1
